step,day,minute_of_day,zone_temp_c,outdoor_temp_c,setpoint_c,occupied,pmv,energy_kwh_step,cost_step,carbon_g_step,latency_s,agent_ran,agent_proposed_c,overridden,override_reason,reasoning
0,1,15,21.885,-4.32,18.0,False,0.0,0.0,0.0,0.0,1.998,True,,True,agent produced no setpoint,
1,1,34,22.018,-6.95,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
2,1,49,21.136,-9.57,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
3,1,65,20.536,-12.2,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
4,1,82,20.01,-12.07,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
5,1,98,19.569,-11.95,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
6,1,112,19.235,-11.82,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
7,1,128,18.929,-11.7,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
8,1,142,18.655,-11.55,18.0,False,0.0,0.0,0.0,0.0,1.557,True,,True,agent produced no setpoint,
9,1,158,18.41,-11.4,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
10,1,172,18.19,-11.25,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
11,1,188,18.018,-11.1,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
12,1,202,18.001,-11.1,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
13,1,218,18.0,-11.1,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
14,1,225,18.001,-11.1,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
15,1,240,18.0,-11.1,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
16,1,255,18.0,-10.97,18.0,False,0.0,0.0,0.0,0.0,1.526,True,,True,agent produced no setpoint,
17,1,270,18.001,-10.85,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
18,1,285,18.0,-10.72,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
19,1,300,18.0,-10.6,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
20,1,315,18.0,-10.6,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
21,1,330,18.0,-10.6,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
22,1,345,18.0,-10.6,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
23,1,360,18.001,-10.6,18.0,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
24,1,375,18.001,-10.6,20.5,False,0.0,0.0,0.0,0.0,1.571,True,,True,agent produced no setpoint,
25,1,392,19.335,-10.6,20.5,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
26,1,408,20.352,-10.6,20.5,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
27,1,425,20.499,-10.6,20.5,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
28,1,442,20.502,-10.45,20.5,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
29,1,450,20.499,-10.3,20.5,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
30,1,465,20.501,-10.15,20.5,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
31,1,480,20.501,-10.0,20.5,False,0.0,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
32,1,495,20.5,-9.72,18.0,False,0.0,0.0,0.0,0.0,1.617,True,,True,agent produced no setpoint,
33,1,515,19.656,-9.45,18.0,True,-1.17,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
34,1,532,19.359,-9.18,18.0,True,-1.32,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
35,1,540,19.392,-8.9,18.0,True,-1.3,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
36,1,555,19.542,-8.35,18.0,True,-1.23,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
37,1,578,19.938,-7.8,18.0,True,-1.03,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
38,1,592,20.313,-7.25,18.0,True,-0.84,0.0,0.0,0.0,0.0,False,,True,agent produced no setpoint,
