step,day,day_of_week,minute_of_day,outdoor_temp_c,site_kwh_step,hvac_kwh_step,elec_kwh_step,gas_kwh_step,cost_step,carbon_g_step,price_per_kwh,is_peak,occupied_zones,mean_zone_temp_c,min_zone_temp_c,worst_pmv,zones_pmv_violation,zones_band_violation,mode,reference_mode,mode_agrees,agent_ran,latency_s,state_injected,comfort_enforced_zones,reason
0,1,3,15,-4.32,0.0,0.38533,0.0,0.0,0.0,0.0,0.08,False,0,18.157,17.756,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
1,1,3,30,-6.95,0.0,0.37972,0.0,0.0,0.0,0.0,0.08,False,0,18.256,17.99,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
2,1,3,45,-9.57,0.0,0.59512,0.0,0.0,0.0,0.0,0.08,False,0,18.247,18.0,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
3,1,3,60,-12.2,0.0,0.76864,0.0,0.0,0.0,0.0,0.08,False,0,18.233,18.0,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
4,1,3,75,-12.07,0.0,0.85676,0.0,0.0,0.0,0.0,0.08,False,0,18.219,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
5,1,3,90,-11.95,0.0,0.93152,0.0,0.0,0.0,0.0,0.08,False,0,18.208,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
6,1,3,105,-11.82,0.0,0.98913,0.0,0.0,0.0,0.0,0.08,False,0,18.199,18.0,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
7,1,3,120,-11.7,0.0,1.04284,0.0,0.0,0.0,0.0,0.08,False,0,18.19,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
8,1,3,135,-11.55,0.0,1.0745,0.0,0.0,0.0,0.0,0.08,False,0,18.182,17.998,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
9,1,3,150,-11.4,0.0,1.10265,0.0,0.0,0.0,0.0,0.08,False,0,18.175,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
10,1,3,165,-11.25,0.0,1.12379,0.0,0.0,0.0,0.0,0.08,False,0,18.17,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
11,1,3,180,-11.1,0.0,1.14246,0.0,0.0,0.0,0.0,0.08,False,0,18.165,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
12,1,3,195,-11.1,0.0,1.18459,0.0,0.0,0.0,0.0,0.08,False,0,18.161,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
13,1,3,210,-11.1,0.0,1.21926,0.0,0.0,0.0,0.0,0.08,False,0,18.155,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
14,1,3,225,-11.1,0.0,1.25357,0.0,0.0,0.0,0.0,0.08,False,0,18.148,18.0,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
15,1,3,240,-11.1,0.0,1.28199,0.0,0.0,0.0,0.0,0.08,False,0,18.141,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
16,1,3,255,-10.97,0.0,1.29368,0.0,0.0,0.0,0.0,0.08,False,0,18.133,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
17,1,3,270,-10.85,0.0,1.30603,0.0,0.0,0.0,0.0,0.08,False,0,18.127,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
18,1,3,285,-10.72,0.0,1.31172,0.0,0.0,0.0,0.0,0.08,False,0,18.123,18.0,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
19,1,3,300,-10.6,0.0,1.32701,0.0,0.0,0.0,0.0,0.08,False,0,18.118,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
20,1,3,315,-10.6,0.0,1.34045,0.0,0.0,0.0,0.0,0.08,False,0,18.115,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
21,1,3,330,-10.6,0.0,1.35349,0.0,0.0,0.0,0.0,0.08,False,0,18.112,18.0,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
22,1,3,345,-10.6,0.0,1.37128,0.0,0.0,0.0,0.0,0.08,False,0,18.109,17.999,0.0,0,0,baseline,SETBACK,True,False,0.0,False,0,
23,1,3,360,-10.6,0.0,1.38825,0.0,0.0,0.0,0.0,0.08,False,0,18.107,18.0,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
24,1,3,375,-10.6,0.0,6.31596,0.0,0.0,0.0,0.0,0.08,False,0,18.104,17.999,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
25,1,3,390,-10.6,0.0,4.02713,0.0,0.0,0.0,0.0,0.08,False,0,18.101,18.002,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
26,1,3,405,-10.6,0.0,3.85795,0.0,0.0,0.0,0.0,0.08,False,0,18.098,18.001,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
27,1,3,420,-10.6,0.0,3.86888,0.0,0.0,0.0,0.0,0.15,False,0,18.094,18.001,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
28,1,3,435,-10.45,0.0,3.8438,0.0,0.0,0.0,0.0,0.15,False,0,18.09,18.0,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
29,1,3,450,-10.3,0.0,3.78948,0.0,0.0,0.0,0.0,0.15,False,0,18.088,18.0,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
30,1,3,465,-10.15,0.0,3.67192,0.0,0.0,0.0,0.0,0.15,False,0,18.088,18.0,0.0,0,0,baseline,PREHEAT,True,False,0.0,False,0,
