step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
0,1,15,SPACE1-1,17.756,17.707,27.46,18.0,False,0.0,5.0,False
0,1,15,SPACE2-1,17.945,17.916,27.32,18.0,False,0.0,5.0,False
0,1,15,SPACE3-1,17.765,17.72,27.43,18.0,False,0.0,5.0,False
0,1,15,SPACE4-1,17.948,17.918,27.33,18.0,False,0.0,5.0,False
0,1,15,SPACE5-1,19.374,19.523,25.49,18.0,False,0.0,5.0,False
1,1,30,SPACE1-1,17.991,17.566,26.99,18.0,False,0.0,5.0,False
1,1,30,SPACE2-1,17.995,17.791,27.15,18.0,False,0.0,5.0,False
1,1,30,SPACE3-1,17.99,17.583,26.98,18.0,False,0.0,5.0,False
1,1,30,SPACE4-1,17.997,17.793,27.17,18.0,False,0.0,5.0,False
1,1,30,SPACE5-1,19.306,19.47,25.41,18.0,False,0.0,5.0,False
2,1,45,SPACE1-1,18.0,17.501,26.86,18.0,False,0.0,5.0,False
2,1,45,SPACE2-1,18.001,17.698,27.02,18.0,False,0.0,5.0,False
2,1,45,SPACE3-1,18.0,17.521,26.85,18.0,False,0.0,5.0,False
2,1,45,SPACE4-1,18.001,17.699,27.03,18.0,False,0.0,5.0,False
2,1,45,SPACE5-1,19.234,19.418,25.3,18.0,False,0.0,5.0,False
3,1,60,SPACE1-1,18.0,17.399,26.7,18.0,False,0.0,5.0,False
3,1,60,SPACE2-1,18.0,17.603,26.86,18.0,False,0.0,5.0,False
3,1,60,SPACE3-1,18.0,17.423,26.69,18.0,False,0.0,5.0,False
3,1,60,SPACE4-1,18.001,17.604,26.87,18.0,False,0.0,5.0,False
3,1,60,SPACE5-1,19.163,19.368,25.16,18.0,False,0.0,5.0,False
4,1,75,SPACE1-1,17.999,17.287,26.52,18.0,False,0.0,5.0,False
4,1,75,SPACE2-1,17.999,17.506,26.68,18.0,False,0.0,5.0,False
4,1,75,SPACE3-1,18.0,17.317,26.5,18.0,False,0.0,5.0,False
4,1,75,SPACE4-1,18.0,17.507,26.69,18.0,False,0.0,5.0,False
4,1,75,SPACE5-1,19.094,19.319,25.0,18.0,False,0.0,5.0,False
5,1,90,SPACE1-1,18.001,17.255,26.3,18.0,False,0.0,5.0,False
5,1,90,SPACE2-1,18.0,17.467,26.48,18.0,False,0.0,5.0,False
5,1,90,SPACE3-1,18.0,17.285,26.29,18.0,False,0.0,5.0,False
