step,day,minute_of_day,zone_temp_c,outdoor_temp_c,setpoint_c,occupied,pmv,energy_kwh_step,cost_step,carbon_g_step,latency_s,agent_ran,agent_proposed_c,overridden,override_reason,reasoning
0,0,15,20.4,0.46,18.0,False,0.0,0.1108,0.00886,27.7,1.912,True,,True,agent produced no setpoint,
1,0,30,19.92,0.24,18.0,False,0.0,0.1632,0.01306,40.8,1.912,False,,True,agent produced no setpoint,
2,0,45,19.536,0.03,18.0,False,0.0,0.2058,0.01646,51.45,1.912,False,,True,agent produced no setpoint,
3,0,60,19.229,-0.16,18.0,False,0.0,0.2403,0.01922,60.08,1.912,False,,True,agent produced no setpoint,
4,0,75,18.983,-0.33,18.0,False,0.0,0.2683,0.02146,67.07,1.551,True,,True,agent produced no setpoint,
5,0,90,18.786,-0.48,18.0,False,0.0,0.291,0.02328,72.75,1.551,False,,True,agent produced no setpoint,
6,0,105,18.629,-0.62,18.0,False,0.0,0.3095,0.02476,77.38,1.551,False,,True,agent produced no setpoint,
7,0,120,18.503,-0.73,18.0,False,0.0,0.3243,0.02594,81.07,1.551,False,,True,agent produced no setpoint,
8,0,135,18.402,-0.83,18.0,False,0.0,0.3364,0.02691,84.1,1.543,True,,True,agent produced no setpoint,
9,0,150,18.322,-0.9,18.0,False,0.0,0.3458,0.02766,86.45,1.543,False,,True,agent produced no setpoint,
10,0,165,18.258,-0.96,18.0,False,0.0,0.3534,0.02827,88.35,1.543,False,,True,agent produced no setpoint,
11,0,180,18.206,-0.99,18.0,False,0.0,0.3592,0.02874,89.8,1.543,False,,True,agent produced no setpoint,
12,0,195,18.165,-1.0,18.0,False,0.0,0.3635,0.02908,90.88,1.513,True,,True,agent produced no setpoint,
13,0,210,18.132,-0.99,18.0,False,0.0,0.3666,0.02933,91.65,1.513,False,,True,agent produced no setpoint,
14,0,225,18.106,-0.96,18.0,False,0.0,0.3686,0.02949,92.15,1.513,False,,True,agent produced no setpoint,
15,0,240,18.085,-0.9,18.0,False,0.0,0.3695,0.02956,92.38,1.513,False,,True,agent produced no setpoint,
16,0,255,18.068,-0.83,18.0,False,0.0,0.3698,0.02958,92.45,1.58,True,,True,agent produced no setpoint,
17,0,270,18.054,-0.73,18.0,False,0.0,0.3692,0.02954,92.3,1.58,False,,True,agent produced no setpoint,
18,0,285,18.043,-0.62,18.0,False,0.0,0.3681,0.02945,92.02,1.58,False,,True,agent produced no setpoint,
19,0,300,18.034,-0.48,18.0,False,0.0,0.3662,0.0293,91.55,1.58,False,,True,agent produced no setpoint,
20,0,315,18.027,-0.33,18.0,False,0.0,0.3639,0.02911,90.97,1.584,True,,True,agent produced no setpoint,
21,0,330,18.022,-0.16,18.0,False,0.0,0.361,0.02888,90.25,1.584,False,,True,agent produced no setpoint,
22,0,345,18.018,0.03,18.0,False,0.0,0.3576,0.02861,89.4,1.584,False,,True,agent produced no setpoint,
23,0,360,18.014,0.24,18.0,False,0.0,0.3538,0.0283,88.45,1.584,False,,True,agent produced no setpoint,
24,0,375,18.511,0.46,20.5,False,0.0,0.5997,0.04798,179.91,1.605,True,,True,agent produced no setpoint,
25,0,390,18.909,0.7,20.5,False,0.0,0.5551,0.04441,166.53,1.605,False,,True,agent produced no setpoint,
26,0,405,19.227,0.96,20.5,False,0.0,0.5181,0.04145,155.43,1.605,False,,True,agent produced no setpoint,
27,0,420,19.482,1.22,20.5,False,0.0,0.4874,0.03899,146.22,1.605,False,,True,agent produced no setpoint,
28,0,435,19.686,1.5,20.5,False,0.0,0.4614,0.06921,138.42,1.527,True,,True,agent produced no setpoint,
29,0,450,19.849,1.79,20.5,False,0.0,0.4393,0.06589,131.79,1.527,False,,True,agent produced no setpoint,
30,0,465,19.979,2.09,20.5,False,0.0,0.4203,0.06305,126.09,1.527,False,,True,agent produced no setpoint,
31,0,480,20.083,2.39,20.5,False,0.0,0.4039,0.06058,121.17,1.527,False,,True,agent produced no setpoint,
32,0,495,20.166,2.71,20.5,True,-0.92,0.3892,0.05838,116.76,1.571,True,,True,agent produced no setpoint,
33,0,510,20.233,3.02,20.5,True,-0.88,0.3763,0.05645,112.89,1.571,False,,True,agent produced no setpoint,
34,0,525,20.286,3.35,20.5,True,-0.86,0.3644,0.05466,109.32,1.571,False,,True,agent produced no setpoint,
35,0,540,20.329,3.67,20.5,True,-0.84,0.3537,0.05305,106.11,1.571,False,,True,agent produced no setpoint,
36,0,555,20.363,4.0,20.5,True,-0.82,0.3437,0.05155,103.11,1.539,True,,True,agent produced no setpoint,
37,0,570,20.39,4.33,20.5,True,-0.8,0.3344,0.05016,100.32,1.539,False,,True,agent produced no setpoint,
38,0,585,20.412,4.65,20.5,True,-0.79,0.3258,0.04887,97.74,1.539,False,,True,agent produced no setpoint,
39,0,600,20.43,4.98,20.5,True,-0.79,0.3174,0.04761,95.22,1.539,False,,True,agent produced no setpoint,
40,0,615,20.444,5.29,20.5,True,-0.78,0.3098,0.04647,37.18,1.515,True,,True,agent produced no setpoint,
41,0,630,20.455,5.61,20.5,True,-0.77,0.3023,0.04535,36.28,1.515,False,,True,agent produced no setpoint,
42,0,645,20.464,5.91,20.5,True,-0.77,0.2954,0.04431,35.45,1.515,False,,True,agent produced no setpoint,
43,0,660,20.471,6.21,20.5,True,-0.76,0.2887,0.04331,34.64,1.515,False,,True,agent produced no setpoint,
44,0,675,20.477,6.5,20.5,True,-0.76,0.2823,0.04235,33.88,1.53,True,,True,agent produced no setpoint,
45,0,690,20.482,6.78,20.5,True,-0.76,0.2762,0.04143,33.14,1.53,False,,True,agent produced no setpoint,
46,0,705,20.486,7.04,20.5,True,-0.76,0.2706,0.04059,32.47,1.53,False,,True,agent produced no setpoint,
47,0,720,20.489,7.3,20.5,True,-0.76,0.2651,0.03977,31.81,1.53,False,,True,agent produced no setpoint,
48,0,735,20.491,7.54,20.5,True,-0.75,0.2601,0.03902,31.21,1.513,True,,True,agent produced no setpoint,
49,0,750,20.493,7.76,20.5,True,-0.75,0.2555,0.03832,30.66,1.513,False,,True,agent produced no setpoint,
50,0,765,20.494,7.97,20.5,True,-0.75,0.2512,0.03768,30.14,1.513,False,,True,agent produced no setpoint,
51,0,780,20.495,8.16,20.5,True,-0.75,0.2473,0.03709,29.68,1.513,False,,True,agent produced no setpoint,
52,0,795,20.496,8.33,20.5,True,-0.75,0.2438,0.03657,29.26,1.538,True,,True,agent produced no setpoint,
53,0,810,20.497,8.48,20.5,True,-0.75,0.2407,0.0361,28.88,1.538,False,,True,agent produced no setpoint,
54,0,825,20.498,8.62,20.5,True,-0.75,0.2378,0.03567,28.54,1.538,False,,True,agent produced no setpoint,
55,0,840,20.498,8.73,20.5,True,-0.75,0.2356,0.03534,28.27,1.538,False,,True,agent produced no setpoint,
56,0,855,21.098,8.83,23.5,True,-0.45,0.5336,0.08004,64.03,1.509,True,,True,agent produced no setpoint,
57,0,870,21.578,8.9,23.5,True,-0.21,0.4842,0.07263,58.1,1.509,False,,True,agent produced no setpoint,
58,0,885,21.962,8.96,23.5,True,-0.02,0.4446,0.06669,53.35,1.509,False,,True,agent produced no setpoint,
59,0,900,22.27,8.99,23.5,True,0.13,0.4132,0.06198,49.58,1.509,False,,True,agent produced no setpoint,
60,0,915,22.516,9.0,23.5,True,0.26,0.3884,0.05826,116.52,1.899,True,23.5,False,,
61,0,930,22.713,8.99,23.5,True,0.36,0.3689,0.05534,110.67,1.899,False,23.5,False,,
62,0,945,22.87,8.96,23.5,True,0.44,0.3538,0.05307,106.14,1.899,False,23.5,False,,
63,0,960,22.996,8.9,23.5,True,0.5,0.3424,0.05136,102.72,1.899,False,23.5,False,,
64,0,975,22.429,8.83,20.0,True,0.21,0.0,0.0,0.0,1.92,True,23.5,True,"price peak active, discharging stored heat instead of buying it",
65,0,990,21.943,8.73,20.0,True,-0.03,0.0311,0.00995,14.93,1.92,False,23.5,True,"price peak active, discharging stored heat instead of buying it",
66,0,1005,21.554,8.62,20.0,True,-0.22,0.0722,0.0231,34.66,1.92,False,23.5,True,"price peak active, discharging stored heat instead of buying it",
67,0,1020,21.243,8.48,20.0,True,-0.38,0.1061,0.03395,50.93,1.92,False,23.5,True,"price peak active, discharging stored heat instead of buying it",
68,0,1035,20.994,8.33,20.0,True,-0.5,0.134,0.04288,64.32,1.566,True,,True,agent produced no setpoint,
69,0,1050,20.795,8.16,20.0,True,-0.6,0.1573,0.05034,75.5,1.566,False,,True,agent produced no setpoint,
70,0,1065,20.636,7.97,20.0,True,-0.68,0.177,0.05664,84.96,1.566,False,,True,agent produced no setpoint,
71,0,1080,20.509,7.76,20.0,True,-0.75,0.1939,0.06205,93.07,1.566,False,,True,agent produced no setpoint,
72,0,1095,20.007,7.54,18.0,False,0.0,0.0085,0.00272,4.08,1.591,True,,True,agent produced no setpoint,
73,0,1110,19.606,7.3,18.0,False,0.0,0.0534,0.01709,25.63,1.591,False,,True,agent produced no setpoint,
74,0,1125,19.285,7.04,18.0,False,0.0,0.0907,0.02902,43.54,1.591,False,,True,agent produced no setpoint,
75,0,1140,19.028,6.78,18.0,False,0.0,0.1216,0.03891,58.37,1.591,False,,True,agent produced no setpoint,
76,0,1155,18.822,6.5,18.0,False,0.0,0.1478,0.0473,70.94,1.59,True,,True,agent produced no setpoint,
77,0,1170,18.658,6.21,18.0,False,0.0,0.17,0.0544,81.6,1.59,False,,True,agent produced no setpoint,
78,0,1185,18.526,5.91,18.0,False,0.0,0.1892,0.06054,90.82,1.59,False,,True,agent produced no setpoint,
79,0,1200,18.421,5.61,18.0,False,0.0,0.2057,0.06582,98.74,1.59,False,,True,agent produced no setpoint,
80,0,1215,18.337,5.29,18.0,False,0.0,0.2205,0.07056,105.84,1.522,True,,True,agent produced no setpoint,
81,0,1230,18.27,4.98,18.0,False,0.0,0.2334,0.07469,112.03,1.522,False,,True,agent produced no setpoint,
82,0,1245,18.216,4.65,18.0,False,0.0,0.2454,0.07853,117.79,1.522,False,,True,agent produced no setpoint,
83,0,1260,18.173,4.33,18.0,False,0.0,0.2561,0.08195,122.93,1.522,False,,True,agent produced no setpoint,
84,0,1275,18.138,4.0,18.0,False,0.0,0.2662,0.03993,79.86,1.623,True,,True,agent produced no setpoint,
85,0,1290,18.11,3.67,18.0,False,0.0,0.2756,0.04134,82.68,1.623,False,,True,agent produced no setpoint,
86,0,1305,18.088,3.35,18.0,False,0.0,0.2842,0.04263,85.26,1.623,False,,True,agent produced no setpoint,
87,0,1320,18.07,3.02,18.0,False,0.0,0.2926,0.04389,87.78,1.623,False,,True,agent produced no setpoint,
88,0,1335,18.056,2.71,18.0,False,0.0,0.3002,0.02402,75.05,1.549,True,,True,agent produced no setpoint,
89,0,1350,18.045,2.39,18.0,False,0.0,0.3077,0.02462,76.92,1.549,False,,True,agent produced no setpoint,
90,0,1365,18.036,2.09,18.0,False,0.0,0.3146,0.02517,78.65,1.549,False,,True,agent produced no setpoint,
91,0,1380,18.029,1.79,18.0,False,0.0,0.3213,0.0257,80.32,1.549,False,,True,agent produced no setpoint,
92,0,1395,18.023,1.5,18.0,False,0.0,0.3277,0.02622,81.92,1.531,True,,True,agent produced no setpoint,
93,0,1410,18.018,1.22,18.0,False,0.0,0.3338,0.0267,83.45,1.531,False,,True,agent produced no setpoint,
94,0,1425,18.014,0.96,18.0,False,0.0,0.3394,0.02715,84.85,1.531,False,,True,agent produced no setpoint,
95,1,0,18.011,0.7,18.0,False,0.0,0.3449,0.02759,86.22,1.531,False,,True,agent produced no setpoint,
96,1,15,18.009,0.46,18.0,False,0.0,0.3499,0.02799,87.47,1.545,True,,True,agent produced no setpoint,
97,1,30,18.007,0.24,18.0,False,0.0,0.3545,0.02836,88.62,1.545,False,,True,agent produced no setpoint,
98,1,45,18.006,0.03,18.0,False,0.0,0.3588,0.0287,89.7,1.545,False,,True,agent produced no setpoint,
99,1,60,18.005,-0.16,18.0,False,0.0,0.3627,0.02902,90.68,1.545,False,,True,agent produced no setpoint,
100,1,75,18.004,-0.33,18.0,False,0.0,0.3662,0.0293,91.55,1.606,True,,True,agent produced no setpoint,
101,1,90,18.003,-0.48,18.0,False,0.0,0.3693,0.02954,92.33,1.606,False,,True,agent produced no setpoint,
102,1,105,18.002,-0.62,18.0,False,0.0,0.3722,0.02978,93.05,1.606,False,,True,agent produced no setpoint,
103,1,120,18.002,-0.73,18.0,False,0.0,0.3744,0.02995,93.6,1.606,False,,True,agent produced no setpoint,
104,1,135,18.002,-0.83,18.0,False,0.0,0.3764,0.03011,94.1,1.525,True,,True,agent produced no setpoint,
105,1,150,18.002,-0.9,18.0,False,0.0,0.3778,0.03022,94.45,1.525,False,,True,agent produced no setpoint,
106,1,165,18.002,-0.96,18.0,False,0.0,0.379,0.03032,94.75,1.525,False,,True,agent produced no setpoint,
107,1,180,18.002,-0.99,18.0,False,0.0,0.3796,0.03037,94.9,1.525,False,,True,agent produced no setpoint,
108,1,195,18.002,-1.0,18.0,False,0.0,0.3798,0.03038,94.95,1.588,True,,True,agent produced no setpoint,
109,1,210,18.002,-0.99,18.0,False,0.0,0.3796,0.03037,94.9,1.588,False,,True,agent produced no setpoint,
110,1,225,18.002,-0.96,18.0,False,0.0,0.379,0.03032,94.75,1.588,False,,True,agent produced no setpoint,
111,1,240,18.002,-0.9,18.0,False,0.0,0.3778,0.03022,94.45,1.588,False,,True,agent produced no setpoint,
112,1,255,18.002,-0.83,18.0,False,0.0,0.3764,0.03011,94.1,1.522,True,,True,agent produced no setpoint,
113,1,270,18.002,-0.73,18.0,False,0.0,0.3744,0.02995,93.6,1.522,False,,True,agent produced no setpoint,
114,1,285,18.002,-0.62,18.0,False,0.0,0.3722,0.02978,93.05,1.522,False,,True,agent produced no setpoint,
115,1,300,18.002,-0.48,18.0,False,0.0,0.3694,0.02955,92.35,1.522,False,,True,agent produced no setpoint,
116,1,315,18.002,-0.33,18.0,False,0.0,0.3664,0.02931,91.6,1.576,True,,True,agent produced no setpoint,
