step,day,minute_of_day,zone_temp_c,outdoor_temp_c,setpoint_c,occupied,pmv,energy_kwh_step,latency_s,agent_ran,agent_proposed_c,overridden,override_reason,reasoning
0,0,15,20.494,8.34,18.0,False,0.0,0.0,0.0,False,,False,,
1,0,30,19.995,7.99,18.0,False,0.0,0.0007,0.0,False,,False,,
2,0,45,19.596,7.65,18.0,False,0.0,0.0474,0.0,False,,False,,
3,0,60,19.277,7.35,18.0,False,0.0,0.0853,0.0,False,,False,,
4,0,75,19.022,7.07,18.0,False,0.0,0.1164,0.0,False,,False,,
5,0,90,18.818,6.83,18.0,False,0.0,0.1416,0.0,False,,False,,
6,0,105,18.654,6.61,18.0,False,0.0,0.1624,0.0,False,,False,,
7,0,120,18.523,6.42,18.0,False,0.0,0.1793,0.0,False,,False,,
8,0,135,18.418,6.27,18.0,False,0.0,0.1928,0.0,False,,False,,
9,0,150,18.334,6.15,18.0,False,0.0,0.2036,0.0,False,,False,,
10,0,165,18.267,6.07,18.0,False,0.0,0.2119,0.0,False,,False,,
11,0,180,18.214,6.02,18.0,False,0.0,0.2182,0.0,False,,False,,
12,0,195,18.171,6.0,18.0,False,0.0,0.2229,0.0,False,,False,,
13,0,210,18.137,6.02,18.0,False,0.0,0.2259,0.0,False,,False,,
14,0,225,18.11,6.07,18.0,False,0.0,0.2276,0.0,False,,False,,
15,0,240,18.088,6.15,18.0,False,0.0,0.2282,0.0,False,,False,,
16,0,255,18.07,6.27,18.0,False,0.0,0.2276,0.0,False,,False,,
17,0,270,18.056,6.42,18.0,False,0.0,0.226,0.0,False,,False,,
18,0,285,18.045,6.61,18.0,False,0.0,0.2233,0.0,False,,False,,
19,0,300,18.036,6.83,18.0,False,0.0,0.2198,0.0,False,,False,,
20,0,315,18.529,7.07,20.5,False,0.0,0.4657,0.0,False,,False,,
21,0,330,18.923,7.35,20.5,False,0.0,0.4207,0.0,False,,False,,
22,0,345,19.238,7.65,20.5,False,0.0,0.3832,0.0,False,,False,,
23,0,360,19.49,7.99,20.5,False,0.0,0.3512,0.0,False,,False,,
24,0,375,19.692,8.34,20.5,False,0.0,0.324,0.0,False,,False,,
25,0,390,19.854,8.73,20.5,False,0.0,0.3,0.0,False,,False,,
26,0,405,19.983,9.13,20.5,False,0.0,0.2791,0.0,False,,False,,
27,0,420,20.086,9.56,20.5,False,0.0,0.2602,0.0,False,,False,,
28,0,435,20.169,10.0,20.5,False,0.0,0.2431,0.0,False,,False,,
29,0,450,20.235,10.46,20.5,False,0.0,0.2273,0.0,False,,False,,
30,0,465,20.288,10.94,20.5,False,0.0,0.2124,0.0,False,,False,,
31,0,480,20.33,11.43,20.5,False,0.0,0.1984,0.0,False,,False,,
32,0,495,20.364,11.93,20.5,True,-0.82,0.185,0.0,False,,False,,
33,0,510,20.391,12.44,20.5,True,-0.8,0.1721,0.0,False,,False,,
34,0,525,20.413,12.96,20.5,True,-0.79,0.1595,0.0,False,,False,,
35,0,540,20.43,13.48,20.5,True,-0.79,0.1474,0.0,False,,False,,
36,0,555,20.444,14.0,20.5,True,-0.78,0.1356,0.0,False,,False,,
37,0,570,20.455,14.52,20.5,True,-0.77,0.1241,0.0,False,,False,,
