step,day,minute_of_day,zone_temp_c,outdoor_temp_c,setpoint_c,occupied,pmv,energy_kwh_step,cost_step,carbon_g_step,latency_s,agent_ran,agent_proposed_c,overridden,override_reason,reasoning
0,0,15,20.4,0.46,18.0,False,0.0,0.1108,0.00886,27.7,0.0,,,,,
1,0,30,19.92,0.24,18.0,False,0.0,0.1632,0.01306,40.8,0.0,,,,,
2,0,45,19.536,0.03,18.0,False,0.0,0.2058,0.01646,51.45,0.0,,,,,
3,0,60,19.229,-0.16,18.0,False,0.0,0.2403,0.01922,60.08,0.0,,,,,
4,0,75,18.983,-0.33,18.0,False,0.0,0.2683,0.02146,67.07,0.0,,,,,
5,0,90,18.786,-0.48,18.0,False,0.0,0.291,0.02328,72.75,0.0,,,,,
6,0,105,18.629,-0.62,18.0,False,0.0,0.3095,0.02476,77.38,0.0,,,,,
7,0,120,18.503,-0.73,18.0,False,0.0,0.3243,0.02594,81.07,0.0,,,,,
8,0,135,18.402,-0.83,18.0,False,0.0,0.3364,0.02691,84.1,0.0,,,,,
9,0,150,18.322,-0.9,18.0,False,0.0,0.3458,0.02766,86.45,0.0,,,,,
10,0,165,18.258,-0.96,18.0,False,0.0,0.3534,0.02827,88.35,0.0,,,,,
11,0,180,18.206,-0.99,18.0,False,0.0,0.3592,0.02874,89.8,0.0,,,,,
12,0,195,18.165,-1.0,18.0,False,0.0,0.3635,0.02908,90.88,0.0,,,,,
13,0,210,18.132,-0.99,18.0,False,0.0,0.3666,0.02933,91.65,0.0,,,,,
14,0,225,18.106,-0.96,18.0,False,0.0,0.3686,0.02949,92.15,0.0,,,,,
15,0,240,18.085,-0.9,18.0,False,0.0,0.3695,0.02956,92.38,0.0,,,,,
16,0,255,18.068,-0.83,18.0,False,0.0,0.3698,0.02958,92.45,0.0,,,,,
17,0,270,18.054,-0.73,18.0,False,0.0,0.3692,0.02954,92.3,0.0,,,,,
18,0,285,18.043,-0.62,18.0,False,0.0,0.3681,0.02945,92.02,0.0,,,,,
19,0,300,18.034,-0.48,18.0,False,0.0,0.3662,0.0293,91.55,0.0,,,,,
20,0,315,18.027,-0.33,18.0,False,0.0,0.3639,0.02911,90.97,0.0,,,,,
21,0,330,18.022,-0.16,18.0,False,0.0,0.361,0.02888,90.25,0.0,,,,,
22,0,345,18.018,0.03,18.0,False,0.0,0.3576,0.02861,89.4,0.0,,,,,
23,0,360,18.014,0.24,18.0,False,0.0,0.3538,0.0283,88.45,0.0,,,,,
24,0,375,18.011,0.46,18.0,False,0.0,0.3497,0.02798,104.91,0.0,,,,,
25,0,390,18.009,0.7,18.0,False,0.0,0.3451,0.02761,103.53,0.0,,,,,
26,0,405,18.007,0.96,18.0,False,0.0,0.3401,0.02721,102.03,0.0,,,,,
27,0,420,18.006,1.22,18.0,False,0.0,0.335,0.0268,100.5,0.0,,,,,
28,0,435,18.005,1.5,18.0,False,0.0,0.3295,0.04943,98.85,0.0,,,,,
29,0,450,18.004,1.79,18.0,False,0.0,0.3238,0.04857,97.14,0.0,,,,,
30,0,465,18.003,2.09,18.0,False,0.0,0.3179,0.04768,95.37,0.0,,,,,
31,0,480,18.002,2.39,18.0,False,0.0,0.312,0.0468,93.6,0.0,,,,,
32,0,495,18.602,2.71,21.0,True,-1.7,0.6056,0.09084,181.68,0.0,,,,,
33,0,510,19.082,3.02,21.0,True,-1.46,0.5514,0.08271,165.42,0.0,,,,,
34,0,525,19.466,3.35,21.0,True,-1.27,0.5064,0.07596,151.92,0.0,,,,,
35,0,540,19.773,3.67,21.0,True,-1.11,0.4693,0.07039,140.79,0.0,,,,,
36,0,555,20.018,4.0,21.0,True,-0.99,0.4382,0.06573,131.46,0.0,,,,,
37,0,570,20.214,4.33,21.0,True,-0.89,0.412,0.0618,123.6,0.0,,,,,
38,0,585,20.371,4.65,21.0,True,-0.81,0.3899,0.05849,116.97,0.0,,,,,
39,0,600,20.497,4.98,21.0,True,-0.75,0.3707,0.0556,111.21,0.0,,,,,
40,0,615,20.598,5.29,21.0,True,-0.7,0.3544,0.05316,42.53,0.0,,,,,
41,0,630,20.678,5.61,21.0,True,-0.66,0.34,0.051,40.8,0.0,,,,,
42,0,645,20.742,5.91,21.0,True,-0.63,0.3276,0.04914,39.31,0.0,,,,,
43,0,660,20.794,6.21,21.0,True,-0.6,0.3164,0.04746,37.97,0.0,,,,,
44,0,675,20.835,6.5,21.0,True,-0.58,0.3065,0.04597,36.78,0.0,,,,,
45,0,690,20.868,6.78,21.0,True,-0.57,0.2976,0.04464,35.71,0.0,,,,,
46,0,705,20.894,7.04,21.0,True,-0.55,0.2898,0.04347,34.78,0.0,,,,,
47,0,720,20.915,7.3,21.0,True,-0.54,0.2825,0.04237,33.9,0.0,,,,,
48,0,735,20.932,7.54,21.0,True,-0.53,0.276,0.0414,33.12,0.0,,,,,
49,0,750,20.946,7.76,21.0,True,-0.53,0.2702,0.04053,32.42,0.0,,,,,
50,0,765,20.957,7.97,21.0,True,-0.52,0.2649,0.03973,31.79,0.0,,,,,
51,0,780,20.966,8.16,21.0,True,-0.52,0.2602,0.03903,31.22,0.0,,,,,
52,0,795,20.973,8.33,21.0,True,-0.51,0.2561,0.03841,30.73,0.0,,,,,
53,0,810,20.978,8.48,21.0,True,-0.51,0.2526,0.03789,30.31,0.0,,,,,
54,0,825,20.982,8.62,21.0,True,-0.51,0.2494,0.03741,29.93,0.0,,,,,
55,0,840,20.986,8.73,21.0,True,-0.51,0.2468,0.03702,29.62,0.0,,,,,
56,0,855,20.989,8.83,21.0,True,-0.51,0.2445,0.03667,29.34,0.0,,,,,
57,0,870,20.991,8.9,21.0,True,-0.5,0.2429,0.03644,29.15,0.0,,,,,
58,0,885,20.993,8.96,21.0,True,-0.5,0.2415,0.03623,28.98,0.0,,,,,
59,0,900,20.994,8.99,21.0,True,-0.5,0.2408,0.03612,28.9,0.0,,,,,
60,0,915,20.995,9.0,21.0,True,-0.5,0.2405,0.03607,72.15,0.0,,,,,
61,0,930,20.996,8.99,21.0,True,-0.5,0.2406,0.03609,72.18,0.0,,,,,
62,0,945,20.997,8.96,21.0,True,-0.5,0.2411,0.03617,72.33,0.0,,,,,
63,0,960,20.998,8.9,21.0,True,-0.5,0.2422,0.03633,72.66,0.0,,,,,
64,0,975,20.998,8.83,21.0,True,-0.5,0.2436,0.07795,116.93,0.0,,,,,
65,0,990,20.998,8.73,21.0,True,-0.5,0.2456,0.07859,117.89,0.0,,,,,
66,0,1005,20.998,8.62,21.0,True,-0.5,0.2478,0.0793,118.94,0.0,,,,,
67,0,1020,20.998,8.48,21.0,True,-0.5,0.2506,0.08019,120.29,0.0,,,,,
68,0,1035,20.998,8.33,21.0,True,-0.5,0.2536,0.08115,121.73,0.0,,,,,
69,0,1050,20.998,8.16,21.0,True,-0.5,0.257,0.08224,123.36,0.0,,,,,
70,0,1065,20.998,7.97,21.0,True,-0.5,0.2608,0.08346,125.18,0.0,,,,,
71,0,1080,20.998,7.76,21.0,True,-0.5,0.265,0.0848,127.2,0.0,,,,,
