step,day,day_of_week,minute_of_day,outdoor_temp_c,site_kwh_step,hvac_kwh_step,elec_kwh_step,gas_kwh_step,cost_step,carbon_g_step,price_per_kwh,is_peak,occupied_zones,mean_zone_temp_c,min_zone_temp_c,worst_pmv,zones_pmv_violation,zones_band_violation,mode,reference_mode,mode_agrees,agent_ran,latency_s,state_injected,comfort_enforced_zones,reason
0,1,3,15,-4.32,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.157,17.756,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
1,1,3,30,-6.95,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.048,17.633,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
2,1,3,45,-9.57,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.913,17.473,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
3,1,3,60,-12.2,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.76,17.283,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
4,1,3,75,-12.07,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.605,17.097,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
5,1,3,90,-11.95,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.481,16.952,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
6,1,3,105,-11.82,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.387,16.851,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
7,1,3,120,-11.7,0.0,0.10071,0.0,0.0,0.0,0.0,0.08,False,0,17.299,16.759,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
8,1,3,135,-11.55,0.0,0.13155,0.0,0.0,0.0,0.0,0.08,False,0,17.222,16.702,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
9,1,3,150,-11.4,0.0,0.14604,0.0,0.0,0.0,0.0,0.08,False,0,17.175,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
10,1,3,165,-11.25,0.0,0.17021,0.0,0.0,0.0,0.0,0.08,False,0,17.134,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
11,1,3,180,-11.1,0.0,0.2059,0.0,0.0,0.0,0.0,0.08,False,0,17.104,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
12,1,3,195,-11.1,0.0,0.24611,0.0,0.0,0.0,0.0,0.08,False,0,17.095,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
13,1,3,210,-11.1,0.0,0.29502,0.0,0.0,0.0,0.0,0.08,False,0,17.085,16.699,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
14,1,3,225,-11.1,0.0,0.34599,0.0,0.0,0.0,0.0,0.08,False,0,17.076,16.699,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
15,1,3,240,-11.1,0.0,0.40038,0.0,0.0,0.0,0.0,0.08,False,0,17.068,16.699,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
16,1,3,255,-10.97,0.0,0.44137,0.0,0.0,0.0,0.0,0.08,False,0,17.061,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
17,1,3,270,-10.85,0.0,0.49814,0.0,0.0,0.0,0.0,0.08,False,0,17.054,16.699,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
18,1,3,285,-10.72,0.0,0.55744,0.0,0.0,0.0,0.0,0.08,False,0,17.049,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
19,1,3,300,-10.6,0.0,0.60814,0.0,0.0,0.0,0.0,0.08,False,0,17.044,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
20,1,3,315,-10.6,0.0,0.6511,0.0,0.0,0.0,0.0,0.08,False,0,17.04,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
21,1,3,330,-10.6,0.0,0.68456,0.0,0.0,0.0,0.0,0.08,False,0,17.036,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
22,1,3,345,-10.6,0.0,0.70925,0.0,0.0,0.0,0.0,0.08,False,0,17.032,16.7,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
23,1,3,360,-10.6,0.0,0.72672,0.0,0.0,0.0,0.0,0.08,False,0,17.029,16.7,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
24,1,3,375,-10.6,0.0,8.42197,0.0,0.0,0.0,0.0,0.08,False,0,17.025,16.699,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
25,1,3,392,-10.6,0.0,7.16578,0.0,0.0,0.0,0.0,0.08,False,0,18.77,18.403,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
26,1,3,408,-10.6,0.0,7.16263,0.0,0.0,0.0,0.0,0.08,False,0,20.014,19.63,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
27,1,3,425,-10.6,0.0,7.15985,0.0,0.0,0.0,0.0,0.15,False,0,20.586,20.197,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
28,1,3,442,-10.45,0.0,7.14153,0.0,0.0,0.0,0.0,0.15,False,0,20.951,20.563,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
29,1,3,458,-10.3,0.0,7.12408,0.0,0.0,0.0,0.0,0.15,False,0,21.236,20.851,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
30,1,3,472,-10.15,0.0,7.04638,0.0,0.0,0.0,0.0,0.15,False,0,21.489,21.1,0.0,0,0,native,PREHEAT,True,False,0.0,False,0,
31,1,3,488,-10.0,0.0,6.89667,0.0,0.0,0.0,0.0,0.15,False,0,21.739,21.341,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
32,1,3,495,-9.72,0.0,5.07791,0.0,0.0,0.0,0.0,0.15,False,0,21.897,21.569,0.0,0,0,native,SETBACK,True,False,0.0,False,0,
33,1,3,515,-9.45,0.0,4.51274,0.0,0.0,0.0,0.0,0.15,False,5,22.195,22.181,-0.408,0,0,native,COMFORT,True,False,0.0,False,0,
34,1,3,532,-9.18,0.0,4.31491,0.0,0.0,0.0,0.0,0.15,False,5,22.201,22.2,-0.358,0,0,native,COMFORT,True,False,0.0,False,0,
35,1,3,540,-8.9,0.0,3.97237,0.0,0.0,0.0,0.0,0.15,False,5,22.201,22.2,-0.328,0,0,native,COMFORT,True,False,0.0,False,0,
36,1,3,555,-8.35,0.0,3.35367,0.0,0.0,0.0,0.0,0.15,False,5,22.202,22.2,-0.299,0,0,native,COMFORT,True,False,0.0,False,0,
37,1,3,578,-7.8,0.0,3.1522,0.0,0.0,0.0,0.0,0.15,False,5,22.329,22.202,-0.272,0,0,native,COMFORT,True,False,0.0,False,0,
38,1,3,592,-7.25,0.0,2.99244,0.0,0.0,0.0,0.0,0.15,False,5,22.469,22.201,-0.25,0,0,native,COMFORT,True,False,0.0,False,0,
39,1,3,608,-6.7,0.0,2.8401,0.0,0.0,0.0,0.0,0.15,False,5,22.561,22.201,-0.235,0,0,native,COMFORT,True,False,0.0,False,0,
40,1,3,615,-6.28,0.0,2.63222,0.0,0.0,0.0,0.0,0.15,False,5,22.635,22.202,0.303,0,0,native,COMFORT,True,False,0.0,False,0,
41,1,3,630,-5.85,0.0,2.45349,0.0,0.0,0.0,0.0,0.15,False,5,22.678,22.2,0.348,0,0,native,COMFORT,True,False,0.0,False,0,
42,1,3,645,-5.42,0.0,2.34872,0.0,0.0,0.0,0.0,0.15,False,5,22.704,22.2,0.373,0,0,native,COMFORT,True,False,0.0,False,0,
43,1,3,660,-5.0,0.0,2.25417,0.0,0.0,0.0,0.0,0.15,False,5,22.747,22.202,0.382,0,0,native,COMFORT,True,False,0.0,False,0,
44,1,3,675,-4.58,0.0,2.25498,0.0,0.0,0.0,0.0,0.15,False,5,22.81,22.202,0.383,0,0,native,COMFORT,True,False,0.0,False,0,
