step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
0,1,15,SPACE1-1,17.756,17.707,27.46,nan,False,0.0,5.0,False
0,1,15,SPACE2-1,17.945,17.916,27.32,nan,False,0.0,5.0,False
0,1,15,SPACE3-1,17.765,17.72,27.43,nan,False,0.0,5.0,False
0,1,15,SPACE4-1,17.948,17.918,27.33,nan,False,0.0,5.0,False
0,1,15,SPACE5-1,19.374,19.523,25.49,nan,False,0.0,5.0,False
1,1,30,SPACE1-1,17.633,17.566,27.61,nan,False,0.0,5.0,False
1,1,30,SPACE2-1,17.827,17.791,27.44,nan,False,0.0,5.0,False
1,1,30,SPACE3-1,17.645,17.583,27.57,nan,False,0.0,5.0,False
1,1,30,SPACE4-1,17.829,17.793,27.45,nan,False,0.0,5.0,False
1,1,30,SPACE5-1,19.306,19.47,25.41,nan,False,0.0,5.0,False
2,1,45,SPACE1-1,17.473,17.408,27.77,nan,False,0.0,5.0,False
2,1,45,SPACE2-1,17.683,17.654,27.56,nan,False,0.0,5.0,False
2,1,45,SPACE3-1,17.489,17.431,27.72,nan,False,0.0,5.0,False
2,1,45,SPACE4-1,17.684,17.655,27.57,nan,False,0.0,5.0,False
2,1,45,SPACE5-1,19.233,19.417,25.3,nan,False,0.0,5.0,False
3,1,60,SPACE1-1,17.283,17.211,27.94,nan,False,0.0,5.0,False
3,1,60,SPACE2-1,17.526,17.503,27.67,nan,False,0.0,5.0,False
3,1,60,SPACE3-1,17.306,17.24,27.88,nan,False,0.0,5.0,False
3,1,60,SPACE4-1,17.527,17.504,27.68,nan,False,0.0,5.0,False
3,1,60,SPACE5-1,19.159,19.362,25.17,nan,False,0.0,5.0,False
4,1,75,SPACE1-1,17.097,17.038,28.07,nan,False,0.0,5.0,False
4,1,75,SPACE2-1,17.36,17.341,27.78,nan,False,0.0,5.0,False
4,1,75,SPACE3-1,17.125,17.074,28.01,nan,False,0.0,5.0,False
4,1,75,SPACE4-1,17.361,17.342,27.79,nan,False,0.0,5.0,False
4,1,75,SPACE5-1,19.082,19.305,25.02,nan,False,0.0,5.0,False
5,1,90,SPACE1-1,16.952,16.908,28.1,nan,False,0.0,5.0,False
