step,day,day_of_week,minute_of_day,outdoor_temp_c,site_kwh_step,hvac_kwh_step,elec_kwh_step,gas_kwh_step,cost_step,carbon_g_step,price_per_kwh,is_peak,occupied_zones,mean_zone_temp_c,min_zone_temp_c,worst_pmv,zones_pmv_violation,zones_band_violation,mode,reference_mode,mode_agrees,agent_ran,latency_s,state_injected,comfort_enforced_zones,reason
0,1,3,15,-4.32,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.157,17.756,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
1,1,3,30,-6.95,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.048,17.633,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
2,1,3,45,-9.57,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.913,17.473,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
3,1,3,60,-12.2,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.76,17.283,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
4,1,3,75,-12.07,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.605,17.097,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
5,1,3,90,-11.95,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.481,16.952,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
6,1,3,105,-11.82,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.387,16.851,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
7,1,3,120,-11.7,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.299,16.759,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
8,1,3,135,-11.55,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.216,16.674,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
9,1,3,150,-11.4,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.142,16.6,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
10,1,3,165,-11.25,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.074,16.534,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
11,1,3,180,-11.1,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.013,16.474,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
12,1,3,195,-11.1,0.0,0.0947,0.0,0.0,0.0,0.0,0.08,False,0,16.956,16.42,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
13,1,3,210,-11.1,0.0,0.1026,0.0,0.0,0.0,0.0,0.08,False,0,16.893,16.36,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
14,1,3,225,-11.1,0.0,0.11087,0.0,0.0,0.0,0.0,0.08,False,0,16.836,16.304,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
15,1,3,240,-11.1,0.0,0.11972,0.0,0.0,0.0,0.0,0.08,False,0,16.784,16.253,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
16,1,3,255,-10.97,0.0,0.12899,0.0,0.0,0.0,0.0,0.08,False,0,16.736,16.205,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
17,1,3,270,-10.85,0.0,0.14718,0.0,0.0,0.0,0.0,0.08,False,0,16.696,16.165,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
18,1,3,285,-10.72,0.0,0.17897,0.0,0.0,0.0,0.0,0.08,False,0,16.663,16.133,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
19,1,3,300,-10.6,0.0,0.20942,0.0,0.0,0.0,0.0,0.08,False,0,16.634,16.105,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
20,1,3,315,-10.6,0.0,0.23701,0.0,0.0,0.0,0.0,0.08,False,0,16.609,16.081,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
21,1,3,330,-10.6,0.0,0.26044,0.0,0.0,0.0,0.0,0.08,False,0,16.584,16.057,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
22,1,3,345,-10.6,0.0,0.27921,0.0,0.0,0.0,0.0,0.08,False,0,16.561,16.035,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
23,1,3,360,-10.6,0.0,5.37072,0.0,0.0,0.0,0.0,0.08,False,0,16.54,16.014,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
24,1,3,377,-10.6,0.0,7.12839,0.0,0.0,0.0,0.0,0.08,False,0,18.561,18.093,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
25,1,3,392,-10.6,0.0,7.16489,0.0,0.0,0.0,0.0,0.08,False,0,19.722,19.267,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
26,1,3,410,-10.6,0.0,7.16194,0.0,0.0,0.0,0.0,0.08,False,0,20.393,19.959,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
27,1,3,428,-10.6,0.0,7.15876,0.0,0.0,0.0,0.0,0.15,False,0,20.817,20.398,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
28,1,3,442,-10.45,0.0,7.04548,0.0,0.0,0.0,0.0,0.15,False,0,21.117,20.71,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
29,1,3,450,-10.3,0.0,6.8525,0.0,0.0,0.0,0.0,0.15,False,0,21.29,20.957,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
30,1,3,465,-10.15,0.0,6.71944,0.0,0.0,0.0,0.0,0.15,False,0,21.386,21.178,0.0,0,0,PREHEAT,PREHEAT,True,False,0.0,False,0,
31,1,3,480,-10.0,0.0,2.43221,0.0,0.0,0.0,0.0,0.15,False,0,21.474,21.391,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
32,1,3,497,-9.72,0.0,2.47941,0.0,0.0,0.0,0.0,0.15,False,0,19.493,19.121,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
33,1,3,515,-9.45,0.0,5.57699,0.0,0.0,0.0,0.0,0.15,False,5,19.441,18.873,-0.819,4,4,COMFORT,COMFORT,True,False,0.0,False,4,
34,1,3,527,-9.18,0.0,3.19444,0.0,0.0,0.0,0.0,0.15,False,5,21.15,20.988,-0.588,3,0,COMFORT,COMFORT,True,False,0.0,False,0,
35,1,3,548,-8.9,0.0,3.55267,0.0,0.0,0.0,0.0,0.15,False,5,21.164,21.001,-0.509,2,0,COMFORT,COMFORT,True,False,0.0,False,0,
36,1,3,555,-8.35,0.0,2.91697,0.0,0.0,0.0,0.0,0.15,False,5,21.2,21.001,-0.489,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
37,1,3,575,-7.8,0.0,2.69768,0.0,0.0,0.0,0.0,0.15,False,5,21.416,21.001,-0.461,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
38,1,3,592,-7.25,0.0,2.52535,0.0,0.0,0.0,0.0,0.15,False,5,21.588,21.001,-0.441,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
39,1,3,608,-6.7,0.0,2.39617,0.0,0.0,0.0,0.0,0.15,False,5,21.722,21.0,-0.425,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
40,1,3,622,-6.28,0.0,2.29787,0.0,0.0,0.0,0.0,0.15,False,5,21.822,21.0,-0.412,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
41,1,3,630,-5.85,0.0,2.15573,0.0,0.0,0.0,0.0,0.15,False,5,21.949,21.001,-0.399,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
42,1,3,645,-5.42,0.0,2.06876,0.0,0.0,0.0,0.0,0.15,False,5,22.05,21.0,-0.387,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
43,1,3,668,-5.0,0.0,1.99103,0.0,0.0,0.0,0.0,0.15,False,5,22.136,21.0,-0.373,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
44,1,3,682,-4.58,0.0,1.98671,0.0,0.0,0.0,0.0,0.15,False,5,22.236,21.0,0.37,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
45,1,3,690,-4.15,0.0,1.9218,0.0,0.0,0.0,0.0,0.15,False,5,22.274,21.001,0.361,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
46,1,3,705,-3.72,0.0,1.89157,0.0,0.0,0.0,0.0,0.15,False,5,22.316,20.999,0.352,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
47,1,3,720,-3.3,0.0,1.81613,0.0,0.0,0.0,0.0,0.15,False,5,22.375,21.0,-0.332,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
48,1,3,735,-3.02,0.0,1.81171,0.0,0.0,0.0,0.0,0.15,False,5,22.395,21.0,-0.326,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
49,1,3,758,-2.75,0.0,1.81004,0.0,0.0,0.0,0.0,0.15,False,5,22.215,21.0,-0.329,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
50,1,3,772,-2.48,0.0,1.77692,0.0,0.0,0.0,0.0,0.15,False,5,22.046,21.001,-0.33,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
51,1,3,788,-2.2,0.0,1.74317,0.0,0.0,0.0,0.0,0.15,False,5,21.961,21.001,-0.329,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
52,1,3,795,-1.93,0.0,1.67259,0.0,0.0,0.0,0.0,0.15,False,5,21.899,21.001,-0.328,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
53,1,3,810,-1.65,0.0,1.62457,0.0,0.0,0.0,0.0,0.15,False,5,21.998,21.0,-0.319,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
54,1,3,825,-1.38,0.0,1.59127,0.0,0.0,0.0,0.0,0.15,False,5,22.085,20.999,-0.311,0,0,COMFORT,COMFORT,True,False,0.0,False,0,
55,1,3,840,-1.1,0.0,2.52271,0.0,0.0,0.0,0.0,0.15,False,5,22.115,21.011,-0.306,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
56,1,3,858,-1.1,0.0,1.93899,0.0,0.0,0.0,0.0,0.15,False,5,23.056,22.844,0.135,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
57,1,3,870,-1.1,0.0,2.19708,0.0,0.0,0.0,0.0,0.15,False,5,23.124,23.0,0.16,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
58,1,3,885,-1.1,0.0,2.14743,0.0,0.0,0.0,0.0,0.15,False,5,23.148,23.0,0.188,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
59,1,3,900,-1.1,0.0,2.07875,0.0,0.0,0.0,0.0,0.15,False,5,23.169,23.001,0.213,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
60,1,3,915,-1.1,0.0,2.16517,0.0,0.0,0.0,0.0,0.15,False,5,23.181,23.0,0.232,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
61,1,3,930,-1.1,0.0,2.17763,0.0,0.0,0.0,0.0,0.15,False,5,23.181,23.0,0.242,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
62,1,3,945,-1.1,0.0,2.16629,0.0,0.0,0.0,0.0,0.15,False,5,23.182,23.001,0.25,0,0,PRECHARGE,PRECHARGE,True,False,0.0,False,0,
63,1,3,960,-1.1,0.0,1.62548,0.0,0.0,0.0,0.0,0.32,True,5,23.181,23.001,0.256,0,0,COAST,COAST,True,False,0.0,False,0,
64,1,3,980,-1.1,0.0,1.65887,0.0,0.0,0.0,0.0,0.32,True,5,22.724,22.242,0.26,0,0,COAST,COAST,True,False,0.0,False,0,
65,1,3,995,-1.1,0.0,1.56837,0.0,0.0,0.0,0.0,0.32,True,5,22.304,21.622,0.263,0,0,COAST,COAST,True,False,0.0,False,0,
66,1,3,1012,-1.1,0.0,1.55028,0.0,0.0,0.0,0.0,0.32,True,5,22.096,21.336,0.264,0,0,COAST,COAST,True,False,0.0,False,0,
67,1,3,1020,-1.1,0.0,1.54673,0.0,0.0,0.0,0.0,0.32,True,5,21.986,21.196,0.266,0,0,COAST,COAST,True,False,0.0,False,0,
68,1,3,1035,-1.25,0.0,1.56006,0.0,0.0,0.0,0.0,0.32,True,5,21.915,21.102,0.27,0,0,COAST,COAST,True,False,0.0,False,0,
69,1,3,1050,-1.4,0.0,1.57526,0.0,0.0,0.0,0.0,0.32,True,5,21.847,21.014,-0.284,0,0,COAST,COAST,True,False,0.0,False,0,
70,1,3,1065,-1.55,0.0,1.59085,0.0,0.0,0.0,0.0,0.32,True,5,21.779,20.932,-0.3,0,0,COAST,COAST,True,False,0.0,False,0,
71,1,3,1080,-1.7,0.0,1.60655,0.0,0.0,0.0,0.0,0.32,True,5,21.719,20.862,-0.315,0,0,COAST,COAST,True,False,0.0,False,0,
72,1,3,1095,-1.82,0.0,1.62401,0.0,0.0,0.0,0.0,0.32,True,5,21.666,20.803,-0.327,0,0,COAST,COAST,True,False,0.0,False,0,
73,1,3,1118,-1.95,0.0,1.64854,0.0,0.0,0.0,0.0,0.32,True,5,21.174,20.307,-0.403,0,0,COAST,COAST,True,False,0.0,False,0,
74,1,3,1132,-2.08,0.0,1.69075,0.0,0.0,0.0,0.0,0.32,True,5,20.741,20.014,-0.462,0,0,COAST,COAST,True,False,0.0,False,0,
75,1,3,1148,-2.2,0.0,1.75129,0.0,0.0,0.0,0.0,0.32,True,5,20.571,20.001,-0.484,0,0,COAST,COAST,True,False,0.0,False,0,
76,1,3,1155,-1.93,0.0,2.16751,0.0,0.0,0.0,0.0,0.32,True,5,20.469,20.0,-0.498,0,0,COAST,COAST,True,False,0.0,False,0,
77,1,3,1178,-1.65,0.0,1.76946,0.0,0.0,0.0,0.0,0.32,True,0,20.367,20.001,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
78,1,3,1192,-1.38,0.0,1.63645,0.0,0.0,0.0,0.0,0.32,True,0,19.865,19.433,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
79,1,3,1208,-1.1,0.0,1.59227,0.0,0.0,0.0,0.0,0.32,True,0,19.474,18.994,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
80,1,3,1215,-1.25,0.0,0.09409,0.0,0.0,0.0,0.0,0.32,True,0,19.257,18.779,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
81,1,3,1230,-1.4,0.0,0.09409,0.0,0.0,0.0,0.0,0.32,True,0,19.238,18.863,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
82,1,3,1245,-1.55,0.0,0.09409,0.0,0.0,0.0,0.0,0.32,True,0,19.195,18.799,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
83,1,3,1260,-1.7,0.0,0.09409,0.0,0.0,0.0,0.0,0.15,False,0,19.113,18.713,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
84,1,3,1275,-1.55,0.0,0.09409,0.0,0.0,0.0,0.0,0.15,False,0,19.034,18.634,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
85,1,3,1290,-1.4,0.0,0.09409,0.0,0.0,0.0,0.0,0.15,False,0,18.916,18.516,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
86,1,3,1305,-1.25,0.0,0.09409,0.0,0.0,0.0,0.0,0.15,False,0,18.785,18.386,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
87,1,3,1320,-1.1,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.66,18.263,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
88,1,3,1335,-1.25,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.543,18.142,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
89,1,3,1350,-1.4,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.442,18.043,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
90,1,3,1365,-1.55,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.353,17.956,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
91,1,3,1380,-1.7,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.27,17.873,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
92,1,3,1395,-1.7,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.191,17.795,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
93,1,3,1410,-1.7,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.12,17.725,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
94,1,3,1425,-1.7,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,18.056,17.662,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
95,1,3,0,-1.7,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.997,17.604,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
96,2,4,15,-2.25,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.941,17.551,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
97,2,4,30,-2.8,0.0,0.09409,0.0,0.0,0.0,0.0,0.08,False,0,17.883,17.492,0.0,0,0,SETBACK,SETBACK,True,False,0.0,False,0,
