datetime_raw,outdoor_c,occupied,facility_j,kwh,cumulative_kwh,demand_kw,SPACE1-1,SPACE2-1,SPACE3-1,SPACE4-1,SPACE5-1,mean_zone_c,heating_sp,cooling_sp,step
 07/01  00:15:00,17.15,False,427500.0,0.11875,0.11875,0.475,20.67605415095025,20.7326055150324,20.68828020959638,20.740332919562533,21.1566226214655,20.798779083321413,19.0,26.0,1
 07/01  00:30:00,17.1,False,427500.0,0.11875,0.2375,0.475,20.646320030201174,20.69811993856073,20.656840325502763,20.70451910774476,21.12225083878728,20.765610048159342,18.0,27.0,2
 07/01  00:45:00,17.05,False,427500.0,0.11875,0.35624999999999996,0.475,20.617598506987388,20.667533671021445,20.626726662079065,20.672906400838094,21.08762507235176,20.73447806265555,18.0,27.0,3
 07/01  01:00:00,17.0,False,427500.0,0.11875,0.475,0.475,20.590500886281696,20.63870020697051,20.598335583667968,20.64333334853356,21.05542924758384,20.705259854607515,18.0,27.0,4
 07/01  01:15:00,16.925,False,427500.0,0.11875,0.59375,0.475,20.56475148451292,20.61127467046345,20.571564059464112,20.61530537598552,21.025036324736263,20.677586383032455,18.0,27.0,5
 07/01  01:30:00,16.85,False,427500.0,0.11875,0.7125,0.475,20.54010568177062,20.585315014476585,20.54616202148416,20.58881631866086,20.995993775106893,20.651278562299826,18.0,27.0,6
 07/01  01:45:00,16.775,False,427500.0,0.11875,0.83125,0.475,20.51646157813432,20.560703403662256,20.521933736777918,20.56374134539184,20.968287767660403,20.626225566325346,18.0,27.0,7
 07/01  02:00:00,16.7,False,427500.0,0.11875,0.9500000000000001,0.475,20.49374209260584,20.537241779471994,20.49874268802715,20.539879956334914,20.941961297144235,20.602313562716827,18.0,27.0,8
 07/01  02:15:00,16.625,False,427500.0,0.11875,1.06875,0.475,20.47194828727889,20.514871085104637,20.476572550067583,20.517164861579428,20.918090499275014,20.57972945666111,18.0,27.0,9
 07/01  02:30:00,16.549999999999997,False,427500.0,0.11875,1.1875,0.475,20.451136739073867,20.493610824689554,20.45546698180772,20.495606324808715,20.89581981574276,20.558328137224528,18.0,27.0,10
 07/01  02:45:00,16.474999999999998,False,427500.0,0.11875,1.30625,0.475,20.431173868182498,20.473307653813528,20.43528146958738,20.47504405555552,20.874630201849463,20.537887449797676,18.0,27.0,11
 07/01  03:00:00,16.4,False,427500.0,0.11875,1.4249999999999998,0.475,20.41189739825958,20.45378929938778,20.415843822757115,20.45530054122069,20.854339110180327,20.518234034361097,18.0,27.0,12
 07/01  03:15:00,16.325,False,427500.0,0.11875,1.5437499999999997,0.475,20.393230183032305,20.43495801703762,20.39706347375424,20.43627359494696,20.834887120497758,20.499282477853775,18.0,27.0,13
 07/01  03:30:00,16.25,False,427500.0,0.11875,1.6624999999999996,0.475,20.37511615512737,20.416748213470644,20.37887766437088,20.417893686784826,20.81623416006965,20.480973975964673,18.0,27.0,14
 07/01  03:45:00,16.175,False,427500.0,0.11875,1.7812499999999996,0.475,20.357502084255525,20.399101832574107,20.36122931930409,20.400099343230444,20.79832923544121,20.46325236296107,18.0,27.0,15
 07/01  04:00:00,16.1,False,427500.0,0.11875,1.8999999999999995,0.475,20.340340127171856,20.3819656189982,20.344066570838663,20.38283437877344,20.781113905995834,20.446064120355597,18.0,27.0,16
 07/01  04:15:00,16.1,False,427500.0,0.11875,2.0187499999999994,0.475,20.32546351760512,20.36659480550353,20.32904323638093,20.36735184335105,20.76453899638945,20.430598479846015,18.0,27.0,17
 07/01  04:30:00,16.1,False,427500.0,0.11875,2.1374999999999993,0.475,20.318743199249816,20.363157736518797,20.32687417749608,20.36381743475188,20.748811639644167,20.424280837532148,18.0,27.0,18
 07/01  04:45:00,16.1,False,427500.0,0.11875,2.256249999999999,0.475,20.318842984445897,20.373694959815083,20.342258234531005,20.370391758585026,20.734386078991093,20.42791480327362,18.0,27.0,19
 07/01  05:00:00,16.1,False,427500.0,0.11875,2.374999999999999,0.475,20.32331166956185,20.390690863109164,20.36340336851606,20.38381152271616,20.72179150701731,20.43660178618411,18.0,27.0,20
 07/01  05:15:00,16.1,False,427500.0,0.11875,2.493749999999999,0.475,20.33057608512451,20.41043690533292,20.38481214956764,20.40232612122381,20.711364046783597,20.447903061606496,18.0,27.0,21
 07/01  05:30:00,16.1,False,427500.0,0.11875,2.612499999999999,0.475,20.340684065310004,20.43378165490878,20.40850947004225,20.425455557588336,20.70319039541094,20.46232422865206,18.0,27.0,22
 07/01  05:45:00,16.1,False,427500.0,0.11875,2.731249999999999,0.475,20.363671613339868,20.491111918117724,20.469753845105465,20.46922581591524,20.69724321913048,20.498201282321755,18.0,27.0,23
 07/01  06:00:00,16.1,False,427500.0,0.11875,2.8499999999999988,0.475,20.39959688166442,20.583827006804523,20.567800650963804,20.533928363697807,20.694850955734548,20.55600077177302,18.0,27.0,24
 07/01  06:15:00,16.1,False,1928395.663596868,0.5356654621102411,3.3856654621102398,2.1426618484409645,20.05511560550522,19.987148811164797,20.297595893964623,19.843838000330443,20.44308550628048,20.125356763449116,18.0,27.0,25
 07/01  06:30:00,16.1,False,1939839.0902176248,0.538844191727118,3.9245096538373576,2.155376766908472,19.846145397709183,19.6941444331112,20.16405143888779,19.48361867574984,20.240587016106225,19.88570939231285,18.0,27.0,26
