datetime_raw,outdoor_c,occupied,facility_j,kwh,cumulative_kwh,demand_kw,SPACE1-1,SPACE2-1,SPACE3-1,SPACE4-1,SPACE5-1,mean_zone_c,heating_sp,cooling_sp,step
 07/01  00:15:00,17.15,False,427500.0,0.11875,0.11875,0.475,20.67605415095025,20.7326055150324,20.68828020959638,20.740332919562533,21.1566226214655,20.798779083321413,16.7,29.4,1
 07/01  00:30:00,17.1,False,427500.0,0.11875,0.2375,0.475,20.646320030201174,20.69811993856073,20.656840325502763,20.70451910774476,21.12225083878728,20.765610048159342,16.7,29.4,2
 07/01  00:45:00,17.05,False,427500.0,0.11875,0.35624999999999996,0.475,20.617598506987388,20.667533671021445,20.626726662079065,20.672906400838094,21.08762507235176,20.73447806265555,16.7,29.4,3
 07/01  01:00:00,17.0,False,427500.0,0.11875,0.475,0.475,20.590500886281696,20.63870020697051,20.598335583667968,20.64333334853356,21.05542924758384,20.705259854607515,16.7,29.4,4
 07/01  01:15:00,16.925,False,427500.0,0.11875,0.59375,0.475,20.56475148451292,20.61127467046345,20.571564059464112,20.61530537598552,21.025036324736263,20.677586383032455,16.7,29.4,5
 07/01  01:30:00,16.85,False,427500.0,0.11875,0.7125,0.475,20.54010568177062,20.585315014476585,20.54616202148416,20.58881631866086,20.995993775106893,20.651278562299826,16.7,29.4,6
 07/01  01:45:00,16.775,False,427500.0,0.11875,0.83125,0.475,20.51646157813432,20.560703403662256,20.521933736777918,20.56374134539184,20.968287767660403,20.626225566325346,16.7,29.4,7
 07/01  02:00:00,16.7,False,427500.0,0.11875,0.9500000000000001,0.475,20.49374209260584,20.537241779471994,20.49874268802715,20.539879956334914,20.941961297144235,20.602313562716827,16.7,29.4,8
 07/01  02:15:00,16.625,False,427500.0,0.11875,1.06875,0.475,20.47194828727889,20.514871085104637,20.476572550067583,20.517164861579428,20.918090499275014,20.57972945666111,16.7,29.4,9
 07/01  02:30:00,16.549999999999997,False,427500.0,0.11875,1.1875,0.475,20.451136739073867,20.493610824689554,20.45546698180772,20.495606324808715,20.89581981574276,20.558328137224528,16.7,29.4,10
 07/01  02:45:00,16.474999999999998,False,427500.0,0.11875,1.30625,0.475,20.431173868182498,20.473307653813528,20.43528146958738,20.47504405555552,20.874630201849463,20.537887449797676,16.7,29.4,11
 07/01  03:00:00,16.4,False,427500.0,0.11875,1.4249999999999998,0.475,20.41189739825958,20.45378929938778,20.415843822757115,20.45530054122069,20.854339110180327,20.518234034361097,16.7,29.4,12
 07/01  03:15:00,16.325,False,427500.0,0.11875,1.5437499999999997,0.475,20.393230183032305,20.43495801703762,20.39706347375424,20.43627359494696,20.834887120497758,20.499282477853775,16.7,29.4,13
 07/01  03:30:00,16.25,False,427500.0,0.11875,1.6624999999999996,0.475,20.37511615512737,20.416748213470644,20.37887766437088,20.417893686784826,20.81623416006965,20.480973975964673,16.7,29.4,14
 07/01  03:45:00,16.175,False,427500.0,0.11875,1.7812499999999996,0.475,20.357502084255525,20.399101832574107,20.36122931930409,20.400099343230444,20.79832923544121,20.46325236296107,16.7,29.4,15
