Date/Time,Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/01  00:15:00,427500.0,0.0,0.0 
 07/01  00:30:00,427500.0,0.0,0.0 
 07/01  00:45:00,427500.0,0.0,0.0 
 07/01  01:00:00,427500.0,0.0,0.0 
 07/01  01:15:00,427500.0,0.0,0.0 
 07/01  01:30:00,427500.0,0.0,0.0 
 07/01  01:45:00,427500.0,0.0,0.0 
 07/01  02:00:00,427500.0,0.0,0.0 
 07/01  02:15:00,427500.0,0.0,0.0 
 07/01  02:30:00,427500.0,0.0,0.0 
 07/01  02:45:00,427500.0,0.0,0.0 
 07/01  03:00:00,427500.0,0.0,0.0 
 07/01  03:15:00,427500.0,0.0,0.0 
 07/01  03:30:00,427500.0,0.0,0.0 
 07/01  03:45:00,427500.0,0.0,0.0 
 07/01  04:00:00,427500.0,0.0,0.0 
 07/01  04:15:00,427500.0,0.0,0.0 
 07/01  04:30:00,427500.0,0.0,0.0 
 07/01  04:45:00,427500.0,0.0,0.0 
 07/01  05:00:00,427500.0,0.0,0.0 
 07/01  05:15:00,427500.0,0.0,0.0 
 07/01  05:30:00,427500.0,0.0,0.0 
 07/01  05:45:00,427500.0,0.0,0.0 
 07/01  06:00:00,427500.0,0.0,0.0 
 07/01  06:15:00,1975860.5083342053,967223.323953044,338740.06447950774 
 07/01  06:30:00,1958055.5890321324,983689.809487778,338740.06447950774 
 07/01  06:45:00,1960963.075445423,986237.2518915066,338740.06447950774 
 07/01  07:00:00,1958783.6377671342,986369.247920289,338740.06447950774 
 07/01  07:15:00,1980794.2568252224,1007501.5532207622,338740.06447950774 
 07/01  07:30:00,2004877.02547726,1030742.8394954164,338740.06447950774 
 07/01  07:45:00,2030263.2294261097,1054868.3384767256,338740.06447950774 
 07/01  08:00:00,2056329.527136526,1079326.8608586872,338740.06447950774 
 07/01  08:15:00,9507995.433964314,1090550.8420965571,338740.06447950774 
 07/01  08:30:00,9532952.434201969,1107917.8799850384,338740.06447950774 
 07/01  08:45:00,9556901.683564225,1121695.9076362334,338740.06447950774 
 07/01  09:00:00,9577218.740490861,1132820.422851183,338740.06447950774 
 07/01  09:15:00,12258293.912316946,1205496.68457881,344842.456007364 
 07/01  09:30:00,12448708.89414564,1382989.386541488,357118.5970980484 
 07/01  09:45:00,12625169.78776426,1538788.8581081503,364423.6708536391 
 07/01  10:00:00,12766022.257316656,1668806.143225302,372702.7020686985 
 07/01  10:15:00,13288286.983777724,1835452.896418541,382954.8631928764 
 07/01  10:30:00,13439928.85072927,1971475.7264878217,391189.9294721024 
