Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Air Relative Humidity [%](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Relative Humidity [%](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Relative Humidity [%](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Relative Humidity [%](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Relative Humidity [%](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/01  00:15:00,17.15,21.537424214359724,20.67605415095025,20.732605515032397,20.68828020959638,20.740332919562533,21.1566226214655,59.1533140729681,0.0,0.0,60.947171699241075,16.7,29.4,57.66027635346388,16.7,29.4,61.08971227984961,16.7,29.4,57.47269477228304,16.7,29.4,63.88198088102759,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  00:30:00,17.1,21.441349769179507,20.646320030201178,20.698119938560726,20.656840325502763,20.704519107744762,21.12225083878728,59.562585125663695,0.0,0.0,61.120760853240064,16.7,29.4,57.84138681060797,16.7,29.4,61.27013541744567,16.7,29.4,57.657927541031405,16.7,29.4,64.08173913269482,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  00:45:00,17.05,21.349466041706364,20.617598506987388,20.667533671021445,20.626726662079065,20.672906400838098,21.087625072351756,59.95947903400749,0.0,0.0,61.29098064166091,16.7,29.4,58.009097331172256,16.7,29.4,61.44603621423954,16.7,29.4,57.828757425429735,16.7,29.4,64.28309788994744,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  01:00:00,17.0,21.262402690353696,20.590500886281696,20.63870020697051,20.598335583667968,20.643333348533556,21.055429247583838,60.34134879565214,0.0,0.0,61.455477437779535,16.7,29.4,58.17097517203235,16.7,29.4,61.61585832330923,16.7,29.4,57.99277301168674,16.7,29.4,64.47543311498235,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  01:15:00,16.925,21.179392727865256,20.564751484512918,20.611274670463455,20.571564059464112,20.615305375985518,21.025036324736263,60.63420269068093,0.0,0.0,61.537616887839356,16.7,29.4,58.254707964531974,16.7,29.4,61.70209271593324,16.7,29.4,58.078400420147126,16.7,29.4,64.57966457117827,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  01:30:00,16.85,21.099877868004835,20.54010568177062,20.585315014476585,20.54616202148416,20.58881631866086,20.995993775106893,60.91558990112893,0.0,0.0,61.6156839705165,16.7,29.4,58.33330207362023,16.7,29.4,61.78324557580554,16.7,29.4,58.15865532287955,16.7,29.4,64.6787194863455,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  01:45:00,16.775,21.02358800777323,20.51646157813432,20.560703403662256,20.521933736777914,20.56374134539184,20.968287767660403,61.18633596596985,0.0,0.0,61.69004891245174,16.7,29.4,58.407162652006676,16.7,29.4,61.860039604724,16.7,29.4,58.233957006411444,16.7,29.4,64.77262690514087,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  02:00:00,16.7,20.950302680956376,20.49374209260584,20.537241779471994,20.49874268802715,20.539879956334914,20.941961297144235,61.44709511998847,0.0,0.0,61.76099403143438,16.7,29.4,58.47698425510166,16.7,29.4,61.9329806043069,16.7,29.4,58.305003307147096,16.7,29.4,64.86118559564596,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  02:15:00,16.625,20.890703645918876,20.471948287278895,20.514871085104634,20.476572550067583,20.517164861579428,20.918090499275014,61.657180258102215,0.0,0.0,61.82850183870527,16.7,29.4,58.542956611744614,16.7,29.4,62.00211099055449,16.7,29.4,58.37202329745546,16.7,29.4,64.94007674436179,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  02:30:00,16.549999999999997,20.83537683017755,20.451136739073867,20.493610824689554,20.45546698180772,20.495606324808715,20.895819815742758,61.85181729530199,0.0,0.0,61.892336851733575,16.7,29.4,58.60499894026089,16.7,29.4,62.06725139346999,16.7,29.4,58.434959465212344,16.7,29.4,65.01267294855239,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  02:45:00,16.474999999999998,20.779615561937565,20.431173868182498,20.473307653813528,20.43528146958738,20.47504405555552,20.874630201849463,62.04881629270197,0.0,0.0,61.953003705834796,16.7,29.4,58.663649077280134,16.7,29.4,62.12893943238706,16.7,29.4,58.494374759811606,16.7,29.4,65.08103461125636,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  03:00:00,16.4,20.724246171080942,20.41189739825958,20.45378929938778,20.415843822757115,20.455300541220694,20.854339110180327,62.24502771930079,0.0,0.0,62.01110858543546,16.7,29.4,58.71952419705394,16.7,29.4,62.187825839629006,16.7,29.4,58.550897683621315,16.7,29.4,65.14587631261426,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  03:15:00,16.325,20.670068424991804,20.393230183032305,20.43495801703762,20.39706347375424,20.43627359494696,20.834887120497754,62.45315014112687,0.0,0.0,62.0826323752666,16.7,29.4,58.78782489210401,16.7,29.4,62.2599839424409,16.7,29.4,58.61970895318831,16.7,29.4,65.22391033694092,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  03:30:00,16.25,20.617169448804322,20.37511615512737,20.416748213470644,20.378877664370876,20.417893686784822,20.816234160069655,62.65711187368984,0.0,0.0,62.1521255639786,16.7,29.4,58.853955349379675,16.7,29.4,62.329948941192235,16.7,29.4,58.686268193721006,16.7,29.4,65.298837169313,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  03:45:00,16.175,20.565481123547546,20.357502084255525,20.399101832574107,20.36122931930409,20.400099343230444,20.79832923544121,62.85713522574946,0.0,0.0,62.21978186225664,16.7,29.4,58.91812224847888,16.7,29.4,62.397932846891955,16.7,29.4,58.75078799571708,16.7,29.4,65.37085176076232,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  04:00:00,16.1,20.514954302115875,20.340340127171856,20.381965618998198,20.344066570838663,20.38283437877344,20.781113905995834,63.05335449103692,0.0,0.0,62.2857851527302,16.7,29.4,58.98050924105763,16.7,29.4,62.4641268969949,16.7,29.4,58.81346497820352,16.7,29.4,65.44017360211674,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  04:15:00,16.1,20.465608783350536,20.32546351760512,20.36659480550353,20.32904323638093,20.36735184335105,20.764538996389454,63.261637658434765,0.0,0.0,62.35881989672764,16.7,29.4,59.0514527447732,16.7,29.4,62.53793659892889,16.7,29.4,58.8846130215963,16.7,29.4,65.52355564487252,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  04:30:00,16.1,20.419243372794945,20.318743199249816,20.363157736518794,20.326874177496077,20.363817434751876,20.748811639644167,63.459003712958875,0.0,0.0,62.400486352342924,16.7,29.4,59.07891750802544,16.7,29.4,62.56212348808342,16.7,29.4,58.91235410075035,16.7,29.4,65.60362657101439,16.7,29.4,0.0,427500.0,0.0,0.0 
 07/01  04:45:00,16.1,20.37593924064848,20.318842984445897,20.373694959815083,20.342258234531005,20.370391758585022,20.734386078991093,63.645011374692686,0.0,0.0,62.415865808730565,16.7,29.4,59.05539458100504,16.7,29.4,62.51847954509997,16.7,29.4,58.90331599924804,16.7,29.4,65.67852858830575,16.7,29.4,0.0,427500.0,0.0,0.0 
